order_id,customer_id,store_id,order_date,order_status,shipping_amount,discount_total,payment_status
50001,1341.0,18,2025-05-07,Returned,0.0,163.49,Refunded
50002,2349.0,1,2022-12-19,Completed,0.0,0.0,Success
50003,1316.0,11,2026-05-08,Completed,0.0,0.0,Success
50004,1436.0,18,2025-09-30,Completed,0.0,0.0,Success
50005,2563.0,19,2024-03-29,Shipped,0.0,88.83,Success
50006,1742.0,1,2022-01-04,Completed,0.0,0.0,Success
50007,1638.0,3,2024-09-11,Completed,0.0,573.22,Success
50008,1654.0,1,2024-11-04,Completed,0.0,160.17,Success
50009,1112.0,1,2023-06-14,Shipped,0.0,157.83,Success
50010,2729.0,7,2024-01-18,Completed,0.0,0.0,Success
50011,1308.0,1,2025-12-20,Completed,0.0,0.0,Success
50012,2778.0,6,2024-01-22,Completed,0.0,90.27,Success
50013,1601.0,2,2022-02-05,Completed,0.0,0.0,Success
50014,2513.0,3,2022-12-25,Completed,0.0,0.0,Success
50015,2991.0,5,2025-06-18,Completed,0.0,453.31,Success
50016,2050.0,20,2022-06-11,Completed,0.0,90.28,Success
50017,1163.0,16,2024-06-06,Returned,0.0,526.23,Refunded
50018,2916.0,4,2026-03-10,Completed,0.0,1309.74,Success
50019,1584.0,1,2024-04-13,Completed,0.0,973.85,Success
50020,2253.0,1,2025-12-29,Completed,0.0,0.0,Success
50021,2905.0,8,2023-12-04,Completed,0.0,249.12,Success
50022,2091.0,12,2025-10-10,Completed,0.0,612.12,Success
50023,1171.0,1,2024-12-20,Completed,0.0,0.0,Success
50024,2198.0,1,2023-12-22,Completed,0.0,0.0,Success
50025,1481.0,2,2025-01-05,Completed,0.0,0.0,Success
50026,2593.0,20,2024-04-01,Completed,0.0,0.0,Success
50027,1744.0,10,2025-09-22,Processing,0.0,133.98,Success
50028,2091.0,16,2026-04-12,Completed,0.0,172.34,Success
50029,1387.0,10,2025-06-21,Completed,0.0,129.8,Success
50030,2166.0,10,2025-11-02,Completed,0.0,672.59,Success
50031,1756.0,12,2023-05-06,Completed,0.0,0.0,Success
50032,2314.0,1,2025-05-22,Processing,0.0,23.67,Success
50033,1790.0,1,2024-05-04,Returned,0.0,355.33,Refunded
50034,1082.0,2,2026-01-07,Cancelled,0.0,911.56,Cancelled
50035,2479.0,1,2024-04-25,Completed,0.0,0.0,Success
