product_id,sku,product_name,category,subcategory,unit_cost,unit_price,reorder_level,is_discontinued
501,SKU-ELE-10001,Smartwatches - Repellat Model 657,Electronics,Smartwatches,33872.49,45292.52,22,False
502,SKU-SPO-10002,Team Sports - Fuga Model 972,Sports & Fitness,Team Sports,9728.69,15084.04,63,False
503,SKU-BEA-10003,Men's Grooming - Impedit Model 580,Beauty & Personal Care,Men's Grooming,811.67,1376.24,25,False
504,SKU-BEA-10004,Makeup - Reiciendis Model 903,Beauty & Personal Care,Makeup,1823.35,3910.83,60,False
505,SKU-HOM-10005,Small Appliances - Iusto Model 774,Home & Kitchen,Small Appliances,4183.6,5998.46,43,False
506,SKU-BEA-10006,Oral Care - Perferendis Model 524,Beauty & Personal Care,Oral Care,543.78,1305.17,14,False
507,SKU-APP-10007,Kids' Fashion - Temporibus Model 859,Apparel,Kids' Fashion,2966.58,5384.85,86,False
508,SKU-APP-10008,Sportswear - Illo Model 500,Apparel,Sportswear,3475.98,5538.85,34,False
509,SKU-BEA-10009,Skincare - Doloremque Model 231,Beauty & Personal Care,Skincare,1618.56,3363.13,91,False
510,SKU-GRO-10010,Beverages - Beatae Model 262,Grocery & Gourmet,Beverages,507.62,640.28,65,False
511,SKU-GRO-10011,Beverages - Suscipit Model 903,Grocery & Gourmet,Beverages,624.94,856.8,60,False
512,SKU-GRO-10012,Snacks & Confectionery - Quod Model 430,Grocery & Gourmet,Snacks & Confectionery,1011.31,1219.3,36,False
513,SKU-ELE-10013,Smartwatches - Quibusdam Model 256,Electronics,Smartwatches,1013.45,1399.58,13,False
514,SKU-SPO-10014,Gym Equipment - In Model 851,Sports & Fitness,Gym Equipment,6989.99,8817.04,26,True
515,SKU-GRO-10015,Gourmet Oils - Dolorum Model 768,Grocery & Gourmet,Gourmet Oils,942.0,1144.81,38,False
516,SKU-SPO-10016,Yoga & Pilates - Sunt Model 487,Sports & Fitness,Yoga & Pilates,8797.86,14192.65,43,False
517,SKU-HOM-10017,Cookware - In Model 753,Home & Kitchen,Cookware,7496.06,12096.53,84,False
518,SKU-ELE-10018,Smartwatches - Minus Model 245,Electronics,Smartwatches,41760.36,49561.42,46,False
519,SKU-APP-10019,Men's Wear - Ex Model 958,Apparel,Men's Wear,409.23,849.44,36,False
520,SKU-BEA-10020,Skincare - Quae Model 740,Beauty & Personal Care,Skincare,874.39,1736.99,19,False
521,SKU-BEA-10021,Makeup - Culpa Model 561,Beauty & Personal Care,Makeup,1788.25,3815.32,30,False
522,SKU-ELE-10022,Laptops - Maiores Model 975,Electronics,Laptops,29855.15,39986.91,14,False
523,SKU-HOM-10023,Furniture - Autem Model 659,Home & Kitchen,Furniture,4000.31,6428.51,10,False
524,SKU-GRO-10024,Snacks & Confectionery - Dolorem Model 130,Grocery & Gourmet,Snacks & Confectionery,1114.84,1357.31,78,False
525,SKU-SPO-10025,Yoga & Pilates - Soluta Model 322,Sports & Fitness,Yoga & Pilates,2830.79,4003.31,13,False
526,SKU-APP-10026,Men's Wear - Culpa Model 374,Apparel,Men's Wear,2587.94,5568.93,45,False
527,SKU-ELE-10027,Audio & Headphones - Cupiditate Model 578,Electronics,Audio & Headphones,32009.72,43071.55,73,False
528,SKU-BEA-10028,Haircare - Nemo Model 966,Beauty & Personal Care,Haircare,560.18,951.12,45,True
529,SKU-ELE-10029,Cameras - Fugit Model 269,Electronics,Cameras,35795.32,47474.39,36,True
530,SKU-BEA-10030,Makeup - Porro Model 865,Beauty & Personal Care,Makeup,1775.09,3414.81,44,False
531,SKU-SPO-10031,Gym Equipment - Temporibus Model 680,Sports & Fitness,Gym Equipment,7405.36,10687.35,55,False
532,SKU-GRO-10032,Organic Foods - Similique Model 623,Grocery & Gourmet,Organic Foods,561.31,820.25,42,False
533,SKU-HOM-10033,Bedding - Doloribus Model 643,Home & Kitchen,Bedding,6656.82,10801.02,55,False
534,SKU-ELE-10034,Laptops - Explicabo Model 290,Electronics,Laptops,36502.3,46679.73,55,False
535,SKU-APP-10035,Winter Wear - Ut Model 421,Apparel,Winter Wear,1395.06,2114.96,25,False
